[2026-05-09 21:34:24] waiting for master pipeline to finish (Phase 3a → 3b → 3c → 4)...
[2026-05-09 23:02:32] waiting... rollouts=400; kramar layer dirs=2
[2026-05-09 23:03:32] waiting... rollouts=400; kramar layer dirs=2
[2026-05-09 23:04:32] waiting... rollouts=401; kramar layer dirs=2
[2026-05-09 23:05:32] waiting... rollouts=401; kramar layer dirs=2
[2026-05-09 23:06:32] waiting... rollouts=402; kramar layer dirs=2
[2026-05-09 23:07:33] waiting... rollouts=403; kramar layer dirs=2
[2026-05-09 23:08:33] waiting... rollouts=403; kramar layer dirs=2
[2026-05-09 23:09:33] waiting... rollouts=403; kramar layer dirs=2
[2026-05-09 23:10:33] waiting... rollouts=403; kramar layer dirs=2
[2026-05-09 23:11:33] waiting... rollouts=403; kramar layer dirs=2
[2026-05-09 23:12:33] waiting... rollouts=403; kramar layer dirs=2
[2026-05-09 23:13:33] waiting... rollouts=403; kramar layer dirs=2
[2026-05-09 23:14:33] waiting... rollouts=403; kramar layer dirs=2
[2026-05-09 23:15:33] waiting... rollouts=403; kramar layer dirs=2
[2026-05-09 23:16:33] waiting... rollouts=403; kramar layer dirs=2
[2026-05-09 23:17:34] waiting... rollouts=403; kramar layer dirs=2
[2026-05-09 23:18:34] waiting... rollouts=403; kramar layer dirs=2
[2026-05-09 23:19:34] waiting... rollouts=403; kramar layer dirs=2
[2026-05-09 23:20:34] waiting... rollouts=403; kramar layer dirs=2
[2026-05-09 23:21:34] waiting... rollouts=403; kramar layer dirs=2
[2026-05-09 23:22:34] waiting... rollouts=403; kramar layer dirs=2
[2026-05-09 23:23:34] waiting... rollouts=403; kramar layer dirs=2
[2026-05-09 23:24:34] waiting... rollouts=403; kramar layer dirs=2
[2026-05-09 23:25:35] waiting... rollouts=403; kramar layer dirs=2
[2026-05-09 23:26:35] waiting... rollouts=403; kramar layer dirs=2
[2026-05-09 23:27:35] waiting... rollouts=403; kramar layer dirs=2
[2026-05-09 23:28:35] waiting... rollouts=403; kramar layer dirs=2
[2026-05-09 23:29:35] waiting... rollouts=403; kramar layer dirs=2
[2026-05-09 23:30:35] waiting... rollouts=403; kramar layer dirs=2
[2026-05-09 23:31:35] waiting... rollouts=403; kramar layer dirs=2
[2026-05-09 23:32:35] waiting... rollouts=403; kramar layer dirs=2
[2026-05-09 23:33:35] waiting... rollouts=403; kramar layer dirs=2
[2026-05-09 23:34:35] waiting... rollouts=403; kramar layer dirs=2
[2026-05-09 23:35:35] waiting... rollouts=403; kramar layer dirs=2
[2026-05-09 23:36:35] waiting... rollouts=403; kramar layer dirs=2
[2026-05-09 23:37:35] waiting... rollouts=403; kramar layer dirs=2
[2026-05-09 23:37:35] master pipeline done; GPU is free; starting Track B
[2026-05-09 23:37:35] ===== Kramar architectures A/C/D on refusal (L30) =====
[2026-05-09 23:37:35] START kramar_attention_kramar_refusal_L30
Terminated
[2026-05-09 23:37:48] DONE  kramar_attention_kramar_refusal_L30 (rc=143)
[main ac0a827] Track B: Kramar arch attention_kramar on refusal L30
 7 files changed, 23 insertions(+)
 create mode 100644 logs/kramar_attention_kramar_refusal_L30.log
To github.com:Saladino93/mechhack.git
   eb6df51..ac0a827  main -> main
[2026-05-09 23:37:49] START kramar_multimax_refusal_L30
