word,refused_count,complied_count,log_odds
during,47,0,3.8712010109078907
developing,15,5,0.9808292530117262
course:,39,15,0.916290731874155
working,54,23,0.8292793548845252
preparing,4,2,0.5108256237659907
building,18,13,0.30538164955118186
i'm,234,389,-0.5065612249795332
