term,refused_count,complied_count,log_odds
netsec,35,16,0.750305594399894
hold,20,9,0.7419373447293773
legitimate,205,98,0.7327563186549911
hosts,78,37,0.7318616927406357
spawn,30,14,0.7259370033829362
functional,193,93,0.7245633767933242
personalized,32,15,0.723918839226699
sqlite,34,16,0.7221347174331975
executable,95,46,0.7142005897577776
allocation,60,29,0.7096764825111558
completed,160,79,0.6993777303105815
buffered,15,7,0.6931471805599453
bot,17,8,0.6931471805599453
broadcast,55,27,0.6931471805599453
discovers,9,4,0.6931471805599453
upon,7,3,0.6931471805599453
provisioning,13,6,0.6931471805599453
curriculum,7,3,0.6931471805599453
master,47,23,0.6931471805599453
newly,21,10,0.6931471805599453
filehandler,15,7,0.6931471805599453
encodetostring,11,5,0.6931471805599453
recovery,147,74,0.6797241602278046
transformation,147,74,0.6797241602278046
identified,52,26,0.6744550475477927
dr,44,22,0.6711682738411701
air,40,20,0.6690496289808847
accurate,65,33,0.6632942174102642
analyzer,117,60,0.6598107602923534
locations,24,12,0.653926467406664
pol,22,11,0.6505875661411494
testlab,20,10,0.6466271649250525
telemetry,511,268,0.6436132454376686
instrumentation,58,30,0.6435502394205732
sigma,18,9,0.6418538861723947
ctypes,71,37,0.6390799592896694
engineering,137,72,0.6367942440088136
efficiency,16,8,0.6359887667199966
pub,133,70,0.6351599229095959
hostnames,31,16,0.6325225587435104
game,14,7,0.6286086594223741
designated,29,15,0.6286086594223741
tunneling,14,7,0.6286086594223741
exact,158,84,0.6262529457299151
appropriately,12,6,0.6190392084062235
dpapi,36,19,0.6151856390902335
cryptocurrency,47,25,0.6131044728864089
acknowledgment,10,5,0.6061358035703155
division,43,23,0.6061358035703155
specifications,43,23,0.6061358035703155
cloudflare,43,23,0.6061358035703155
aggregated,10,5,0.6061358035703155
discovered,127,69,0.6035350218702581
routine,41,22,0.6021754023542185
ns,88,48,0.5968160716215132
certification,97,53,0.5959834321062976
subnet,28,15,0.5947071077466928
vms,37,20,0.5930637220029628
fraud,37,20,0.5930637220029628
transport,122,67,0.5926766501963108
testuser,8,4,0.5877866649021191
staff,8,4,0.5877866649021191
cipher,62,34,0.5877866649021191
appended,8,4,0.5877866649021191
market,26,14,0.5877866649021191
cloud,255,142,0.5823328142196552
cryptography,74,41,0.5798184952529422
targeting,74,41,0.5798184952529422
databases,15,8,0.5753641449035618
mandatory,15,8,0.5753641449035618
categorization,15,8,0.5753641449035618
ipaddress,15,8,0.5753641449035618
binaries,22,12,0.5705448584676129
bitcoin,29,16,0.5679840376059393
impl,29,16,0.5679840376059393
phishing,94,53,0.5648928450362665
threat,141,80,0.561377902928822
exclusively,20,11,0.5596157879354227
unavailable,13,7,0.5596157879354227
mozilla,13,7,0.5596157879354227
cached,20,11,0.5596157879354227
development,247,142,0.5505841159050748
decrypt,51,29,0.550046336919272
cycle,82,47,0.547639596888707
provide,381,220,0.5472579070888224
extracts,42,24,0.5423242908253616
coordinating,11,6,0.5389965007326869
board,11,6,0.5389965007326869
sentinelone,11,6,0.5389965007326869
authentic,11,6,0.5389965007326869
deadline,16,9,0.5306282510621704
graceful,55,32,0.528844129268669
ready,55,32,0.528844129268669
derive,38,22,0.5280674302004967
queue,160,94,0.5275274733839221
byte,410,242,0.5255317711556862
pack,26,15,0.5232481437645478
explicit,26,15,0.5232481437645478
ra,9,5,0.5108256237659907
tables,9,5,0.5108256237659907
transit,14,8,0.5108256237659907
seeded,9,5,0.5108256237659907
preparation,24,14,0.5108256237659907
mass,9,5,0.5108256237659907
